site,tortid,sex,status,year,quarter,date,cohab_count,logistic_count,temperature,rainfall,local_tort_density,local_burrow_density,survey_rate
BSV,214,F,R,1998,3,1998-08-17,0,0,90.0,0.03,0,1,0.48412698412698413
BSV,214,F,R,1998,3,1998-09-08,0,0,80.1,1.42,2,4,0.35714285714285715
BSV,214,F,R,1999,2,1999-03-08,0,0,61.0,0.0,3,5,0.6727272727272727
BSV,214,F,R,1999,2,1999-03-01,1,1,61.0,0.0,4,5,0.2636363636363636
BSV,214,F,R,1997,2,1997-05-27,0,0,81.5,0.0,0,1,0.1657142857142857
BSV,214,F,R,1998,3,1998-07-21,0,0,89.6,2.09,0,3,0.4444444444444444
BSV,214,F,R,1997,1,1998-02-19,0,0,49.3,2.67,1,5,0.38095238095238093
BSV,214,F,R,1997,2,1997-06-23,0,0,84.2,0.0,0,1,0.22285714285714286
BSV,214,F,C,1996,3,1996-07-15,0,0,93.9,2.29,0,2,0.14666666666666667
BSV,214,F,R,1998,3,1998-08-25,0,0,90.0,0.03,0,1,0.3412698412698413
BSV,214,F,R,1997,2,1997-05-02,0,0,81.5,0.0,0,3,0.12571428571428572
BSV,214,F,R,1998,1,1998-11-16,1,1,52.7,0.07,4,6,0.7936507936507936
BSV,214,F,R,1998,2,1998-04-06,0,0,61.0,0.8,0,1,0.3492063492063492
BSV,214,F,R,1997,3,1997-08-07,0,0,89.2,0.13,0,1,0.045714285714285714
BSV,214,F,R,1997,2,1997-06-17,0,0,84.2,0.0,0,4,0.14857142857142858
BSV,214,F,R,1998,3,1998-08-05,0,0,90.0,0.03,1,5,0.46825396825396826
BSV,214,F,R,1998,3,1998-07-13,0,0,89.6,2.09,0,3,0.42857142857142855
BSV,214,F,R,1997,3,1997-07-14,0,0,87.4,0.03,0,2,0.2857142857142857
BSV,214,F,R,1998,3,1998-10-27,0,0,65.3,0.08,0,5,0.19047619047619047
BSV,214,F,R,1998,2,1998-06-29,0,0,79.5,0.0,0,5,0.3888888888888889
BSV,214,F,R,1997,3,1997-10-24,0,0,66.0,0.0,0,4,0.15428571428571428
BSV,214,F,R,1998,3,1998-10-14,0,0,65.3,0.08,0,2,0.36507936507936506
BSV,214,F,R,1997,3,1997-10-08,0,0,66.0,0.0,0,4,0.16
BSV,214,F,R,1999,2,1999-04-06,0,0,61.3,1.42,0,1,0.2636363636363636
BSV,214,F,R,1998,1,1998-11-09,2,1,52.7,0.07,3,6,0.626984126984127
BSV,214,F,R,1998,3,1998-08-11,0,0,90.0,0.03,0,3,0.3333333333333333
BSV,214,F,R,1999,3,1999-07-07,0,0,91.0,0.53,0,2,0.23636363636363636
BSV,214,F,R,1999,1,1999-12-07,0,0,48.0,0.0,0,2,0.21818181818181817
BSV,214,F,R,1997,3,1997-08-30,0,0,89.2,0.13,0,3,0.06857142857142857
