site,tortid,sex,year,quarter,status,temperature,rainfall,local_tort_density,local_burrow_density,std_homerange,survey_rate,survey_freq,tort_survey,burrow_count,logistic_count
BSV,215,F,1997,2,R,73.5,0.035000000000000003,0.0,1.4285714285714286,0.10001159539729387,0.59999999999999998,0.082480781457719199,0.1917808219178082,4,1
BSV,215,F,1997,3,R,81.025000000000006,0.33499999999999996,0.36363636363636365,2.3636363636363638,0.11614265616297462,0.75409836065573776,0.071366997867610388,0.11827956989247312,7,1
BSV,215,F,1998,1,NA,52.700000000000003,0.070000000000000007,nan,nan,NA,0.12068965517241378,0.16905766526019689,0.0,0,0
BSV,215,F,1998,2,NA,66.775000000000006,0.40500000000000003,nan,nan,NA,0.66386554621848737,0.12378691983122363,0.0,0,0
BSV,215,F,1998,3,NA,81.25,0.90499999999999992,nan,nan,NA,0.61016949152542377,0.11508005317611701,0.0,0,0
BSV,215,F,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,215,F,1999,2,NA,70.474999999999994,0.40999999999999998,nan,nan,NA,0.52500000000000002,0.104628164556962,0.0,0,0
BSV,215,F,1999,3,NA,83.424999999999997,0.20250000000000001,nan,nan,NA,0.38181818181818183,0.097144539299381855,0.0,0,0
BSV,212,M,1996,1,C,52.299999999999997,0.56499999999999995,0.0,1.0,0.0,0.11235955056179775,0.036440352896049098,0.18181818181818182,1,0
BSV,212,M,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,212,M,1996,3,C,83.275000000000006,0.69499999999999995,0.0,1.3333333333333333,0.078895969778174507,0.34745762711864409,0.02883263009845289,0.14285714285714285,5,1
BSV,212,M,1997,1,NA,50.049999999999997,0.17999999999999999,nan,nan,NA,0.28813559322033899,0.093791440626883674,0.0,0,0
BSV,212,M,1997,2,NA,73.5,0.035000000000000003,nan,nan,NA,0.59999999999999998,0.082480781457719199,0.0,0,0
BSV,212,M,1997,3,NA,81.025000000000006,0.33499999999999996,nan,nan,NA,0.75409836065573776,0.071366997867610388,0.0,0,0
BSV,212,M,1998,1,NA,52.700000000000003,0.070000000000000007,nan,nan,NA,0.12068965517241378,0.16905766526019689,0.0,0,0
BSV,212,M,1998,2,NA,66.775000000000006,0.40500000000000003,nan,nan,NA,0.66386554621848737,0.12378691983122363,0.0,0,0
BSV,212,M,1998,3,NA,81.25,0.90499999999999992,nan,nan,NA,0.61016949152542377,0.11508005317611701,0.0,0,0
BSV,212,M,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,212,M,1999,2,NA,70.474999999999994,0.40999999999999998,nan,nan,NA,0.52500000000000002,0.104628164556962,0.0,0,0
BSV,212,M,1999,3,NA,83.424999999999997,0.20250000000000001,nan,nan,NA,0.38181818181818183,0.097144539299381855,0.0,0,0
BSV,210,F,1996,1,C,52.299999999999997,0.56499999999999995,0.0,3.0,0.0,0.11235955056179775,0.036440352896049098,0.36363636363636365,2,1
BSV,210,F,1996,2,C,82.450000000000003,0.089999999999999997,0.0,1.5,0.011320493798946663,0.53846153846153844,0.025316455696202535,0.13793103448275862,1,0
BSV,210,F,1996,3,C,83.275000000000006,0.69499999999999995,0.0,1.8571428571428572,0.078192149743928963,0.34745762711864409,0.02883263009845289,0.16666666666666666,4,1
BSV,210,F,1997,1,R,50.049999999999997,0.17999999999999999,3.0,4.0,2.2737367544323206e-13,0.28813559322033899,0.093791440626883674,0.17142857142857143,2,1
BSV,210,F,1997,2,R,73.5,0.035000000000000003,0.066666666666666666,2.7999999999999998,0.067609999343771571,0.59999999999999998,0.082480781457719199,0.2054794520547945,6,1
BSV,210,F,1997,3,R,81.025000000000006,0.33499999999999996,0.33333333333333331,2.6666666666666665,0.095134119912609255,0.75409836065573776,0.071366997867610388,0.12903225806451613,5,1
BSV,210,F,1998,1,R,52.700000000000003,0.070000000000000007,5.0,3.6000000000000001,2.2737367544323206e-13,0.12068965517241378,0.16905766526019689,0.3333333333333333,2,1
BSV,210,F,1998,2,R,66.775000000000006,0.40500000000000003,0.47368421052631576,2.7894736842105261,0.083233979892767457,0.66386554621848737,0.12378691983122363,0.2375,5,1
BSV,210,F,1998,3,R,81.25,0.90499999999999992,0.35294117647058826,2.6470588235294117,0.11498636510174803,0.61016949152542377,0.11508005317611701,0.2328767123287671,8,1
BSV,210,F,1999,1,R,52.850000000000001,0.0,1.0,4.0,0.0,0.1111111111111111,0.085443037974683542,0.5,2,1
BSV,210,F,1999,2,R,70.474999999999994,0.40999999999999998,0.0625,1.25,0.06474008014598498,0.52500000000000002,0.104628164556962,0.25,5,1
BSV,210,F,1999,3,R,83.424999999999997,0.20250000000000001,0.45454545454545453,2.0,0.067982329007985592,0.38181818181818183,0.097144539299381855,0.2558139534883721,3,1
BSV,211,F,1996,1,C,52.299999999999997,0.56499999999999995,0.0,3.25,0.0,0.11235955056179775,0.036440352896049098,0.36363636363636365,2,1
BSV,211,F,1996,2,C,82.450000000000003,0.089999999999999997,0.0,0.75,0.03141361767735229,0.53846153846153844,0.025316455696202535,0.13793103448275862,1,0
